01/29/2026-14:07:40.829331  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:56913 -> 149.154.166.110:443
01/29/2026-14:08:31.966626  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:64378 -> 149.154.166.110:443
01/29/2026-14:09:23.117220  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62038 -> 149.154.166.110:443
01/29/2026-14:10:14.251467  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:54166 -> 149.154.166.110:443
01/29/2026-14:11:05.396895  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:58992 -> 149.154.166.110:443
01/29/2026-14:11:56.448321  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:55117 -> 10.0.40.1:53
01/29/2026-14:11:56.555116  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:49202 -> 149.154.166.110:443
01/29/2026-14:12:47.705907  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:52083 -> 149.154.166.110:443
01/29/2026-14:13:38.827002  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:65431 -> 149.154.166.110:443
01/29/2026-14:14:29.964150  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:55171 -> 149.154.166.110:443
01/29/2026-14:15:21.096212  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:55898 -> 149.154.166.110:443
01/29/2026-14:16:12.244916  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53648 -> 149.154.166.110:443
01/29/2026-14:17:03.292424  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:63612 -> 10.0.40.1:53
01/29/2026-14:17:03.399488  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59224 -> 149.154.166.110:443
01/29/2026-14:17:54.543232  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59230 -> 149.154.166.110:443
01/29/2026-14:18:45.694808  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59234 -> 149.154.166.110:443
01/29/2026-14:19:36.838186  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59235 -> 149.154.166.110:443
01/29/2026-14:19:47.769037  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.50.12:49689 -> 95.100.171.14:80
01/29/2026-14:20:09.623945  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.50.11:60263 -> 95.100.171.42:80
01/29/2026-14:20:10.401968  [**] [1:2210023:2] SURICATA STREAM ESTABLISHED SYNACK resend with different ACK [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 95.100.171.14:80 -> 10.0.50.11:60274
01/29/2026-14:20:10.401968  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.50.11:60274 -> 95.100.171.14:80
01/29/2026-14:20:27.995916  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59236 -> 149.154.166.110:443
01/29/2026-14:20:39.442212  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 194.116.104.36:80 -> 10.0.50.11:60311
01/29/2026-14:20:39.442212  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.11:60311
01/29/2026-14:21:14.941305  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 194.116.104.36:80 -> 10.0.50.12:49752
